ts_code,trade_date,close,open,high,low,pre_close,pct_change,vol,amount,vwap
AAPL,20240305,170.12,170.76,172.04,169.62,175.1,-2.84,95132375,16201652309.7,170.31
AAPL,20240304,175.1,176.15,176.9,173.79,179.66,-2.54,81510125,14249837246.96,174.82
AAPL,20240301,179.66,179.55,180.53,177.38,180.75,-0.6,73563063,13167862575.69,179.0
AAPL,20240229,180.75,181.27,182.57,179.53,181.42,-0.37,136682630,24693454345.73,180.66
AAPL,20240228,181.42,182.51,183.12,180.13,182.63,-0.66,48953938,8867345480.08,181.14
AAPL,20240227,182.63,181.1,183.92,179.56,181.16,0.81,54318852,9874244416.3,181.78
AAPL,20240226,181.16,182.24,182.76,180.65,182.52,-0.75,40867422,7409877028.6,181.32
AAPL,20240223,182.52,185.01,185.04,182.23,184.37,-1.0,45119676,8257167365.29,183.01
AAPL,20240222,184.37,183.48,184.96,182.46,182.32,1.12,52292208,9613488938.4,183.84
AAPL,20240221,182.32,181.94,182.89,180.66,181.56,0.42,41529676,7556441246.59,181.95
AAPL,20240220,181.56,181.79,182.43,180.0,182.31,-0.41,53665555,9713873313.22,181.01
AAPL,20240216,182.31,183.42,184.85,181.66,183.86,-0.84,49752465,9092805280.62,182.76
AAPL,20240215,183.86,183.55,184.49,181.35,184.15,-0.16,65434497,11951356336.86,182.65
AAPL,20240214,184.15,185.32,185.53,182.44,185.04,-0.48,54630516,10027693438.28,183.55
AAPL,20240213,185.04,185.77,186.21,183.51,187.15,-1.13,56529528,10456057634.91,184.97
AAPL,20240212,187.15,188.41,188.67,186.79,188.85,-0.9,41781934,7838709055.56,187.61
AAPL,20240209,188.85,188.65,189.99,188.0,188.32,0.28,45155215,8535040056.35,189.02
AAPL,20240208,188.32,189.38,189.54,187.35,189.41,-0.58,40962047,7712936351.25,188.29
AAPL,20240207,189.41,190.64,191.05,188.61,189.3,0.06,53438954,10119387365.78,189.36
AAPL,20240206,189.3,186.86,189.31,186.77,187.68,0.86,43490758,8197038474.0,188.48
AAPL,20240205,187.68,188.15,189.25,185.84,185.85,0.98,69668813,13081566712.5,187.77
AAPL,20240202,185.85,179.86,187.33,179.25,186.86,-0.54,102551690,18950773944.67,184.79
AAPL,20240201,186.86,183.99,186.95,183.82,184.4,1.33,64885407,12068459251.93,186.0
AAPL,20240131,184.4,187.04,187.1,184.35,188.04,-1.94,55467805,10284413301.0,185.41
AAPL,20240130,188.04,190.94,191.8,187.47,191.73,-1.92,55859372,10548148652.25,188.83
AAPL,20240129,191.73,192.01,192.2,189.58,192.42,-0.36,47145622,9016873652.11,191.26
AAPL,20240126,192.42,194.27,194.76,191.94,194.17,-0.9,44594012,8613623278.88,193.16
AAPL,20240125,194.17,195.22,196.27,193.11,194.5,-0.17,54822125,10678763901.48,194.79
AAPL,20240124,194.5,195.42,196.38,194.34,195.18,-0.35,53631317,10472260655.87,195.26
AAPL,20240123,195.18,195.02,195.75,193.83,193.89,0.67,42355590,8251297147.01,194.81
AAPL,20240122,193.89,192.3,195.33,192.26,191.56,1.22,60133852,11667001590.25,194.02
AAPL,20240119,191.56,189.33,191.95,188.82,188.63,1.55,68903000,13132050512.5,190.59
AAPL,20240118,188.63,186.09,189.14,185.83,182.68,3.26,78005750,14661984171.72,187.96
AAPL,20240117,182.68,181.27,182.93,180.3,183.63,-0.52,47317434,8606085905.61,181.88
AAPL,20240116,183.63,182.16,184.26,180.93,185.92,-1.23,65603063,11993702864.7,182.82
AAPL,20240112,185.92,186.06,186.74,185.19,185.59,0.18,40477782,7521411444.56,185.82
AAPL,20240111,185.59,186.54,187.05,183.62,186.19,-0.32,49128407,9088505231.41,184.99
AAPL,20240110,186.19,184.35,186.4,183.92,185.14,0.57,46792907,8666107207.18,185.2
AAPL,20240109,185.14,183.92,185.15,182.73,185.56,-0.23,42841809,7897378100.04,184.34
AAPL,20240108,185.56,182.09,185.6,181.5,181.18,2.42,59144469,10903064025.61,184.35
AAPL,20240105,181.18,181.99,182.76,180.17,181.91,-0.4,62379661,11321622148.86,181.5
AAPL,20240104,181.91,182.15,183.09,180.88,184.25,-1.27,71983563,13102384071.89,182.02
AAPL,20240103,184.25,184.22,185.88,183.43,185.64,-0.75,58414461,10767233840.93,184.32
AAPL,20240102,185.64,187.15,188.44,183.88,192.53,-3.58,82488688,15330365936.29,185.85
AAPL,20231229,192.53,193.9,194.4,191.73,193.58,-0.54,42672149,8217461503.95,192.57
AAPL,20231228,193.58,194.14,194.66,193.17,193.15,0.22,34049899,6603518237.41,193.94
AAPL,20231227,193.15,192.49,193.5,191.09,193.05,0.05,48087680,9258522998.66,192.53
